TaroFries,10,20,2,0,600
TaroRoot,6,0,1,1,250
TastyTropicalPizza,21,12,6,11,1200
Tomato,5,0,1,2,240
ToppedPorridge,10,0,4,10,700
Tortilla,20,0,10,0,350
Transglutaminase,0,0,0,0,10
TrilliumFlower,0,0,0,0,0
VegetableMedley,8,7,4,17,900
VegetableSoup,12,7,4,19,1200
VegetableStock,11,2,1,11,700
Wheat,6,0,2,0,150
WildMix,15,4,6,21,800
WildStew,10,6,2,12,1100
WiltedFiddleheads,4,0,1,7,350
WorldlyDonut,15,17,2,2,750
Yeast,0,0,8,7,60
